# kind	where	detail
JOIN-SPACE	p4	White Estate | “ข้าพเจ้าเห็
JOIN-SPACE	p6	........ (7) | บทนำของคณะผู
JOIN-SPACE	p6	........ (8) | คำนำของผู้ปร
JOIN-SPACE	p6	....... (10) | 1 ความพินาศข
NO-TAG	GC00_front_print_th.typ p2	แปลจาก: White EG. The Great Controversy (1911)
NO-TAG	GC00_front_print_th.typ p2	Ellen G. White Estate #italic[“ข้าพเจ้าเห็นฟ้าสวรรค์ใหม่และแ
NO-TAG	GC00_front_print_th.typ p4	วิวรณ์ 21:1 มีคาห์ 4:8 สดุดี 37:29 วิวรณ์ 22:5 1 โครินธ์ 2:9
NO-TAG	GC00_front_print_th.typ p6	อารัมภบท....................................................
NO-TAG	GC00_intro_print_th.typ p8	หนังสือ “ปลายทางแห่งความหวัง” (ฉบับสมบูรณ์) ที่ท่านถืออยู่ใน
NO-TAG	GC00_intro_print_th.typ p9	ท่านผู้อ่านที่เคารพ หนังสือเล่มนี้ ไม่ได้พิมพ์ไว้เพื่อบอกว่า
NO-TAG	GC00_intro_print_th.typ p9	แต่ในบางขณะของชีวิต ไม่ว่าจะด้วยเหตุผลใดก็ตาม จะเกิดแรงดลใจท
NO-TAG	GC00_intro_print_th.typ p9	มีองค์ประกอบยิ่งใหญ่อะไรบ้างที่พัวพันอยู่กับเรื่องนี้ ความขั
NO-TAG	GC00_intro_print_th.typ p9	ปัญหาที่เข้ามาใกล้ตัวยิ่งกว่านี้คือความขัดแย้งในใจของเราเอง 
NO-TAG	GC00_intro_print_th.typ p9	ท่านผู้อ่านที่เคารพ หนังสือเล่มนี้มีจุดประสงค์ที่ต้องการช่วย
NO-TAG	GC00_intro_print_th.typ p9	เพื่อให้เราเข้าใจหลักการต่างๆ ของความขัดแย้งยิ่งใหญ่ที่พัวพั
NO-TAG	GC00_intro_print_th.typ p9	หนังสือเล่มนี้เริ่มต้นที่เหตุการณ์ประวัติศาสตร์อันน่าเศร้าขอ
NO-TAG	GC00_intro_print_th.typ p10	หนังสือเล่มนี้นำเสนอให้เห็นอย่างตรงไปตรงมา อย่างชัดเจน อย่าง
NO-TAG	GC00_intro_print_th.typ p10	ที่สุดแล้ว หนังสือเล่มนี้บอกเราถึงชัยชนะที่จะอยู่อย่างนิรันด
NO-TAG	GC00_intro_print_th.typ p10	หนังสือเล่มนี้เริ่มพิมพ์ครั้งแรกเมื่อปี ค.ศ. 1888 ตามด้วยฉบั
NO-TAG	GC00_intro_print_th.typ p10	หนังสือเล่มนี้ที่พิมพ์ออกมาหลายครั้งแล้วนั้นนำจิตวิญญาณมายมา
NO-TAG	GC00_intro_print_th.typ p10	#italic[คณะผู้จัดพิมพ์ฉบับภาษาอังกฤษ]
NO-TAG	GC00_intro_print_th.typ p17	จุดประสงค์ของหนังสือเล่มนี้คือ เพื่อเปิดเผยภาพของความขัดแย้ง
JOIN-SPACE	p18	” | สดุดี 48:2 ภ
JOIN-SPACE	p19	งค์จะทรงเป็น | “เหมือนลูกแก
LINE-HYPHEN	p19	กไปไม่ไกลนักคือภูเขาคาล- | วารี สถานที่แห่งการตรึงก
LINE-HYPHEN	p19	่ซึ่งอิสอัคบุตรแห่งพันธ- | สัญญาผู้เป็นเหยื่อที่อยู
JOIN-SPACE	p19	พงศาวดาร 21) | อันเป็นสัญลั
JOIN-SPACE	p20	ะองค์ทรงเป็น | “พระยาห์เวห์
JOIN-SPACE	p21	” | อิสยาห์ 5:1-
JOIN-SPACE	p23	ผู้รับผิดชอบ | “แต่พวกท่านก
JOIN-SPACE	p26	” | มัทธิว 24:2 
JOIN-SPACE	p28	หลายจึงสร้าง | “ศิโยนด้วยโล
JOIN-SPACE	p29	” | อิสยาห์ 30:1
JOIN-SPACE	p30	ระองค์ที่ว่า | “ท่านทั้งหลา
JOIN-SPACE	p31	” | “วิบัติ วิบั
JOIN-SPACE	p32	ที่มีอยู่ว่า | “ผู้หญิงจะลื
JOIN-SPACE	p32	้อความที่ว่า | “ผู้หญิงสำรว
JOIN-SPACE	p33	” | มัทธิว 27:25
JOIN-SPACE	p37	” | มัทธิว 24:33
LINE-HYPHEN	p41	ที่ลี้ภัยในสถานที่เปล่า- | เปลี่ยวห่างไกลจากผู้คน “
LINE-HYPHEN	p44	กลับใจใหม่และให้ชำระจิต- | วิญญาณของตนให้บริสุทธิ์โ
LINE-HYPHEN	p45	วกเผชิญหน้ากับคนในคริสต- | จักรที่แสดงตัวว่าเคร่งศา
LINE-HYPHEN	p46	าทนต่อความผิดที่จะนำจิต- | วิญญาณของตนไปสู่ความตาย 
LINE-HYPHEN	p47	ของพระองค์ตำหนิความเห็น- | แก่ตัวและความเสื่อมทรามใ
JOIN-SPACE	p50	” | และยิ่งกว่าน
JOIN-SPACE	p51	ผู้เป็นเจ้า” | (โปรดดูภาคผน
